Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:06.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.77188E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.3797	 0.021853	 0.072386	 0.000000	 0.000000	 0.000000
 0.4248	 0.024465	 0.056270	 0.000000	 0.000000	 0.000000
 0.4596	 0.025972	 0.039965	 0.000000	 0.000000	 0.000000
 0.4866	 0.026761	 0.025060	 0.000000	 0.000000	 0.000000
 0.5137	 0.027166	 0.008264	 0.000000	 0.000000	 0.000000
 0.5407	 0.027130	-0.011264	 0.000000	 0.000000	 0.000000
 0.5677	 0.026600	-0.032490	 0.000000	 0.000000	 0.000000
 0.5947	 0.025537	-0.055282	 0.000000	 0.000000	 0.000000
 0.6217	 0.023886	-0.080951	 0.000000	 0.000000	 0.000000
 0.6488	 0.021611	-0.106764	 0.000000	 0.000000	 0.000000
 0.6758	 0.018712	-0.132336	 0.000000	 0.000000	 0.000000
 0.7028	 0.015202	-0.157272	 0.000000	 0.000000	 0.000000
 0.7298	 0.011067	-0.183780	 0.000000	 0.000000	 0.000000
 0.7568	 0.006322	-0.207622	 0.000000	 0.000000	 0.000000
 0.7839	 0.001034	-0.228529	 0.000000	 0.000000	 0.000000
 0.8109	-0.004721	-0.246317	 0.000000	 0.000000	 0.000000
 0.8379	-0.010897	-0.263106	 0.000000	 0.000000	 0.000000
 0.8649	-0.017433	-0.276207	 0.000000	 0.000000	 0.000000
 0.8919	-0.024242	-0.285744	 0.000000	 0.000000	 0.000000
 0.9189	-0.031232	-0.291172	 0.000000	 0.000000	 0.000000
 0.9460	-0.038323	-0.294131	 0.000000	 0.000000	 0.000000
 0.9730	-0.045461	-0.295285	 0.000000	 0.000000	 0.000000
 1.0000	-0.052614	-0.295458	 0.000000	 0.000000	 0.000000


 -------- Mode No.   4  (freq = 0.32533E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000000	 0.000000	 0.000003	 0.002174	 0.000000
 0.0104	 0.000000	 0.000000	 0.000030	 0.006432	 0.000000
 0.0174	 0.000000	 0.000000	 0.000083	 0.010572	 0.000000
 0.0244	 0.000000	 0.000000	 0.000162	 0.014594	 0.000000
 0.0313	 0.000000	 0.000000	 0.000265	 0.018497	 0.000000
 0.0383	 0.000000	 0.000000	 0.000393	 0.022282	 0.000000
 0.0453	 0.000000	 0.000000	 0.000543	 0.025948	 0.000000
 0.0522	 0.000000	 0.000000	 0.000716	 0.029496	 0.000000
 0.0592	 0.000000	 0.000000	 0.000911	 0.032926	 0.000000
 0.0662	 0.000000	 0.000000	 0.001127	 0.036238	 0.000000
 0.0731	 0.000000	 0.000000	 0.001363	 0.039432	 0.000000
 0.0801	 0.000000	 0.000000	 0.001619	 0.042508	 0.000000
 0.0870	 0.000000	 0.000000	 0.001893	 0.045467	 0.000000
 0.0940	 0.000000	 0.000000	 0.002186	 0.048308	 0.000000
 0.1010	 0.000000	 0.000000	 0.002496	 0.051033	 0.000000
 0.1079	 0.000000	 0.000000	 0.002823	 0.053858	 0.000000
 0.1149	 0.000000	 0.000000	 0.003168	 0.056561	 0.000000
 0.1219	 0.000000	 0.000000	 0.003529	 0.059143	 0.000000
 0.1288	 0.000000	 0.000000	 0.003906	 0.061603	 0.000000
 0.1358	 0.000000	 0.000000	 0.004298	 0.063941	 0.000000
 0.1399	 0.000000	 0.000000	 0.004535	 0.065264	 0.000000
 0.1497	 0.000000	 0.000000	 0.005123	 0.068256	 0.000000
 0.1567	 0.000000	 0.000000	 0.005555	 0.070232	 0.000000
 0.1636	 0.000000	 0.000000	 0.005999	 0.072088	 0.000000
 0.1706	 0.000000	 0.000000	 0.006455	 0.073824	 0.000000
 0.1776	 0.000000	 0.000000	 0.006921	 0.075441	 0.000000
 0.1845	 0.000000	 0.000000	 0.007396	 0.076940	 0.000000
 0.1915	 0.000000	 0.000000	 0.007881	 0.078322	 0.000000
 0.1985	 0.000000	 0.000000	 0.008373	 0.079586	 0.000000
 0.2054	 0.000000	 0.000000	 0.008874	 0.080826	 0.000000
 0.2124	 0.000000	 0.000000	 0.009382	 0.081950	 0.000000
 0.2194	 0.000000	 0.000000	 0.009896	 0.082958	 0.000000
 0.2263	 0.000000	 0.000000	 0.010417	 0.083850	 0.000000
 0.2333	 0.000000	 0.000000	 0.010943	 0.084623	 0.000000
 0.2403	 0.000000	 0.000000	 0.011473	 0.085278	 0.000000
 0.2472	 0.000000	 0.000000	 0.012007	 0.085814	 0.000000
 0.2507	 0.000000	 0.000000	 0.012275	 0.086038	 0.000000
 0.3203	 0.000000	 0.000000	 0.017650	 0.084239	 0.000000
 0.3797	 0.000000	 0.000000	 0.021853	 0.072386	 0.000000
 0.4248	 0.000000	 0.000000	 0.024465	 0.056270	 0.000000
 0.4596	 0.000000	 0.000000	 0.025972	 0.039965	 0.000000
 0.4866	 0.000000	 0.000000	 0.026761	 0.025060	 0.000000
 0.5137	 0.000000	 0.000000	 0.027166	 0.008264	 0.000000
 0.5407	 0.000000	 0.000000	 0.027130	-0.011264	 0.000000
 0.5677	 0.000000	 0.000000	 0.026600	-0.032490	 0.000000
 0.5947	 0.000000	 0.000000	 0.025537	-0.055282	 0.000000
 0.6217	 0.000000	 0.000000	 0.023886	-0.080951	 0.000000
 0.6488	 0.000000	 0.000000	 0.021611	-0.106764	 0.000000
 0.6758	 0.000000	 0.000000	 0.018712	-0.132336	 0.000000
 0.7028	 0.000000	 0.000000	 0.015202	-0.157272	 0.000000
 0.7298	 0.000000	 0.000000	 0.011067	-0.183780	 0.000000
 0.7568	 0.000000	 0.000000	 0.006322	-0.207622	 0.000000
 0.7839	 0.000000	 0.000000	 0.001034	-0.228529	 0.000000
 0.8109	 0.000000	 0.000000	-0.004721	-0.246317	 0.000000
 0.8379	 0.000000	 0.000000	-0.010897	-0.263106	 0.000000
 0.8649	 0.000000	 0.000000	-0.017433	-0.276207	 0.000000
 0.8919	 0.000000	 0.000000	-0.024242	-0.285744	 0.000000
 0.9189	 0.000000	 0.000000	-0.031232	-0.291172	 0.000000
 0.9460	 0.000000	 0.000000	-0.038323	-0.294131	 0.000000
 0.9730	 0.000000	 0.000000	-0.045461	-0.295285	 0.000000
 1.0000	 0.000000	 0.000000	-0.052614	-0.295458	 0.000000


 -------- Mode No.   5  (freq = 0.83899E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	-0.000006	-0.003707	 0.000000	 0.000000	 0.000000
 0.0104	-0.000051	-0.010859	 0.000000	 0.000000	 0.000000
 0.0174	-0.000141	-0.017662	 0.000000	 0.000000	 0.000000
 0.0244	-0.000271	-0.024117	 0.000000	 0.000000	 0.000000
 0.0313	-0.000441	-0.030224	 0.000000	 0.000000	 0.000000
 0.0383	-0.000648	-0.035982	 0.000000	 0.000000	 0.000000
 0.0453	-0.000889	-0.041393	 0.000000	 0.000000	 0.000000
 0.0522	-0.001164	-0.046458	 0.000000	 0.000000	 0.000000
 0.0592	-0.001468	-0.051177	 0.000000	 0.000000	 0.000000
 0.0662	-0.001802	-0.055551	 0.000000	 0.000000	 0.000000
 0.0731	-0.002161	-0.059583	 0.000000	 0.000000	 0.000000
 0.0801	-0.002544	-0.063273	 0.000000	 0.000000	 0.000000
 0.0870	-0.002950	-0.066626	 0.000000	 0.000000	 0.000000
