Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 23-Apr-2024 at 12:57:09.
IEA15 tower                                                                                        
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24429E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 -------- Mode No.   4  (freq = 0.12435E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000000	 0.000000	 0.000003	 0.001805	 0.000000
 0.0104	 0.000000	 0.000000	 0.000025	 0.005369	 0.000000
 0.0174	 0.000000	 0.000000	 0.000070	 0.008872	 0.000000
 0.0244	 0.000000	 0.000000	 0.000136	 0.012315	 0.000000
 0.0313	 0.000000	 0.000000	 0.000223	 0.015698	 0.000000
 0.0383	 0.000000	 0.000000	 0.000332	 0.019020	 0.000000
 0.0453	 0.000000	 0.000000	 0.000461	 0.022282	 0.000000
 0.0522	 0.000000	 0.000000	 0.000610	 0.025484	 0.000000
 0.0592	 0.000000	 0.000000	 0.000778	 0.028625	 0.000000
 0.0662	 0.000000	 0.000000	 0.000967	 0.031706	 0.000000
 0.0731	 0.000000	 0.000000	 0.001174	 0.034727	 0.000000
 0.0801	 0.000000	 0.000000	 0.001400	 0.037687	 0.000000
 0.0870	 0.000000	 0.000000	 0.001644	 0.040587	 0.000000
 0.0940	 0.000000	 0.000000	 0.001906	 0.043427	 0.000000
 0.1010	 0.000000	 0.000000	 0.002186	 0.046206	 0.000000
 0.1079	 0.000000	 0.000000	 0.002484	 0.049152	 0.000000
 0.1149	 0.000000	 0.000000	 0.002799	 0.052037	 0.000000
 0.1219	 0.000000	 0.000000	 0.003133	 0.054862	 0.000000
 0.1288	 0.000000	 0.000000	 0.003484	 0.057625	 0.000000
 0.1358	 0.000000	 0.000000	 0.003852	 0.060328	 0.000000
 0.1399	 0.000000	 0.000000	 0.004077	 0.061893	 0.000000
 0.1497	 0.000000	 0.000000	 0.004638	 0.065549	 0.000000
 0.1567	 0.000000	 0.000000	 0.005055	 0.068068	 0.000000
 0.1636	 0.000000	 0.000000	 0.005487	 0.070525	 0.000000
 0.1706	 0.000000	 0.000000	 0.005935	 0.072920	 0.000000
 0.1776	 0.000000	 0.000000	 0.006397	 0.075254	 0.000000
 0.1845	 0.000000	 0.000000	 0.006874	 0.077527	 0.000000
 0.1915	 0.000000	 0.000000	 0.007365	 0.079737	 0.000000
 0.1985	 0.000000	 0.000000	 0.007869	 0.081886	 0.000000
 0.2054	 0.000000	 0.000000	 0.008387	 0.084139	 0.000000
 0.2124	 0.000000	 0.000000	 0.008919	 0.086344	 0.000000
 0.2194	 0.000000	 0.000000	 0.009465	 0.088499	 0.000000
 0.2263	 0.000000	 0.000000	 0.010024	 0.090603	 0.000000
 0.2333	 0.000000	 0.000000	 0.010595	 0.092657	 0.000000
 0.2403	 0.000000	 0.000000	 0.011180	 0.094658	 0.000000
 0.2472	 0.000000	 0.000000	 0.011777	 0.096607	 0.000000
 0.2507	 0.000000	 0.000000	 0.012080	 0.097561	 0.000000
 0.3203	 0.000000	 0.000000	 0.018711	 0.113716	 0.000000
 0.3797	 0.000000	 0.000000	 0.025038	 0.123049	 0.000000
 0.4248	 0.000000	 0.000000	 0.030094	 0.126623	 0.000000
 0.4596	 0.000000	 0.000000	 0.034053	 0.126758	 0.000000
 0.4866	 0.000000	 0.000000	 0.037106	 0.125092	 0.000000
 0.5137	 0.000000	 0.000000	 0.040098	 0.121710	 0.000000
 0.5407	 0.000000	 0.000000	 0.042981	 0.116160	 0.000000
 0.5677	 0.000000	 0.000000	 0.045703	 0.108402	 0.000000
 0.5947	 0.000000	 0.000000	 0.048207	 0.098160	 0.000000
 0.6217	 0.000000	 0.000000	 0.050419	 0.084301	 0.000000
 0.6488	 0.000000	 0.000000	 0.052264	 0.067742	 0.000000
 0.6758	 0.000000	 0.000000	 0.053673	 0.048316	 0.000000
 0.7028	 0.000000	 0.000000	 0.054574	 0.025829	 0.000000
 0.7298	 0.000000	 0.000000	 0.054857	-0.002761	 0.000000
 0.7568	 0.000000	 0.000000	 0.054417	-0.033883	 0.000000
 0.7839	 0.000000	 0.000000	 0.053194	-0.067486	 0.000000
 0.8109	 0.000000	 0.000000	 0.051127	-0.103516	 0.000000
 0.8379	 0.000000	 0.000000	 0.048089	-0.147760	 0.000000
 0.8649	 0.000000	 0.000000	 0.043946	-0.194744	 0.000000
 0.8919	 0.000000	 0.000000	 0.038634	-0.244459	 0.000000
 0.9189	 0.000000	 0.000000	 0.032166	-0.290020	 0.000000
 0.9460	 0.000000	 0.000000	 0.024573	-0.337326	 0.000000
 0.9730	 0.000000	 0.000000	 0.015815	-0.386322	 0.000000
 1.0000	 0.000000	 0.000000	 0.005850	-0.436983	 0.000000


 -------- Mode No.   5  (freq = 0.33405E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	-0.000006	-0.003843	 0.000000	 0.000000	 0.000015
 0.0104	-0.000054	-0.011373	 0.000000	 0.000000	 0.000045
 0.0174	-0.000148	-0.018696	 0.000000	 0.000000	 0.000075
 0.0244	-0.000287	-0.025812	 0.000000	 0.000000	 0.000105
 0.0313	-0.000469	-0.032720	 0.000000	 0.000000	 0.000135
 0.0383	-0.000694	-0.039422	 0.000000	 0.000000	 0.000165
 0.0453	-0.000961	-0.045916	 0.000000	 0.000000	 0.000195
 0.0522	-0.001267	-0.052203	 0.000000	 0.000000	 0.000225
 0.0592	-0.001612	-0.058284	 0.000000	 0.000000	 0.000255
 0.0662	-0.001994	-0.064157	 0.000000	 0.000000	 0.000285
 0.0731	-0.002412	-0.069825	 0.000000	 0.000000	 0.000315
 0.0801	-0.002865	-0.075287	 0.000000	 0.000000	 0.000345
 0.0870	-0.003351	-0.080543	 0.000000	 0.000000	 0.000375
 0.0940	-0.003870	-0.085594	 0.000000	 0.000000	 0.000405
 0.1010	-0.004419	-0.090441	 0.000000	 0.000000	 0.000435
 0.1079	-0.004999	-0.095470	 0.000000	 0.000000	 0.000465
 0.1149	-0.005610	-0.100287	 0.000000	 0.000000	 0.000495
 0.1219	-0.006251	-0.104892	 0.000000	 0.000000	 0.000525
 0.1288	-0.006919	-0.109284	 0.000000	 0.000000	 0.000555
 0.1358	-0.007614	-0.113465	 0.000000	 0.000000	 0.000585
